MAKE,MODEL,MODEL_YR,BLIND_SPOT_DETECTION,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING
KIA,TELLURIDE,2025,Standard,Standard,Standard
KIA,TELLURIDE,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER DEFENDER 110,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER DEFENDER 130,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER DEFENDER 90,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER DISCOVERY,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER DISCOVERY SPORT,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER RANGE ROVER,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER RANGE ROVER SPORT,2025,Standard,Standard,Standard
LAND ROVER,LAND ROVER RANGE ROVER VELAR,2025,Standard,Standard,Standard
LEXUS,ES 250,2025,Standard,Standard,Standard
LEXUS,ES 300H,2025,Standard,Standard,Standard
LEXUS,ES 350,2025,Standard,Standard,Standard
LEXUS,GX 550,2025,Standard,Standard,Standard
LEXUS,IS 300,2025,Standard,Standard,Standard
LEXUS,IS 300,2025,Standard,Standard,Standard
LEXUS,IS 350,2025,Standard,Standard,Standard
LEXUS,IS 350,2025,Standard,Standard,Standard
LEXUS,IS 500,2025,Standard,Standard,Standard
LEXUS,LC 500,2025,Standard,Standard,Standard
LEXUS,LC 500 CONVERTIBLE,2025,Standard,Standard,Standard
LEXUS,LC 500H,2025,Standard,Standard,Standard
LEXUS,LS 500,2025,Standard,Standard,Standard
LEXUS,LS 500,2025,Standard,Standard,Standard
LEXUS,LS 500H,2025,Standard,Standard,Standard
LEXUS,LX 600,2025,Standard,Standard,Standard
LEXUS,LX 700H,2025,Standard,Standard,Standard
LEXUS,NX 250,2025,Standard,Standard,Standard
LEXUS,NX 250,2025,Standard,Standard,Standard
LEXUS,NX 350,2025,Standard,Standard,Standard
LEXUS,NX 350H,2025,Standard,Standard,Standard
LEXUS,NX 450H+,2025,Standard,Standard,Standard
LEXUS,RC 300,2025,Standard,Standard,Standard
LEXUS,RC 300,2025,Standard,Standard,Standard
LEXUS,RC 350,2025,Standard,Standard,Standard
LEXUS,RC 350,2025,Standard,Standard,Standard
LEXUS,RC F,2025,Standard,Standard,Standard
LEXUS,RX 350,2025,Standard,Standard,Standard
LEXUS,RX 350,2025,Standard,Standard,Standard
LEXUS,RX 350H,2025,Standard,Standard,Standard
LEXUS,RX 450H+,2025,Standard,Standard,Standard
LEXUS,RX 500H,2025,Standard,Standard,Standard
LEXUS,RZ 300E,2025,Standard,Standard,Standard
LEXUS,RZ 450E,2025,Standard,Standard,Standard
LEXUS,TX 350,2025,Standard,Standard,Standard
LEXUS,TX 350,2025,Standard,Standard,Standard
LEXUS,TX 500H,2025,Standard,Standard,Standard
LEXUS,TX 550H+,2025,Standard,Standard,Standard
LEXUS,UX 300H,2025,Standard,Standard,Standard
LEXUS,UX 300H,2025,Standard,Standard,Standard
LINCOLN,AVIATOR,2025,Standard,Standard,Standard
LINCOLN,AVIATOR,2025,Standard,Standard,Standard
LINCOLN,CORSAIR GAS,2025,Standard,Standard,Standard
LINCOLN,CORSAIR GAS,2025,Standard,Standard,Standard
LINCOLN,CORSAIR PHEV,2025,Standard,Standard,Standard
LINCOLN,NAUTILUS,2025,Standard,Standard,Standard
LINCOLN,NAUTILUS FHEV,2025,Standard,Standard,Standard
LINCOLN,NAVIGATOR,2025,Standard,Standard,Standard
LINCOLN,NAVIGATOR L,2025,Standard,Standard,Standard
LUCID,AIR,2025,Standard,Standard,Standard
LUCID,AIR,2025,Standard,Standard,Standard
MAZDA,CX-30,2025,Standard,Standard,Standard
MAZDA,CX-5,2025,Standard,Standard,Standard
MAZDA,CX-50,2025,Standard,Standard,Standard
MAZDA,CX-50 HYBRID,2025,Standard,Standard,Standard
MAZDA,CX-70,2025,Standard,Standard,Standard
